iter	Passed	Remaining
408	5069	7325
409	5082	7313
410	5094	7300
411	5104	7285
412	5116	7271
413	5128	7258
414	5139	7245
415	5151	7231
416	5163	7218
417	5174	7204
418	5185	7190
419	5197	7177
420	5208	7163
421	5220	7149
422	5231	7136
423	5244	7125
424	5256	7112
425	5267	7097
426	5280	7085
427	5292	7073
428	5304	7059
429	5315	7045
430	5327	7033
431	5340	7022
432	5352	7008
433	5363	6994
434	5374	6981
435	5385	6967
436	5397	6953
437	5410	6941
438	5422	6929
439	5434	6916
440	5446	6903
441	5459	6892
442	5472	6880
443	5485	6869
444	5498	6857
445	5510	6844
446	5522	6831
447	5534	6819
448	5546	6806
449	5559	6794
450	5571	6781
451	5582	6768
452	5594	6755
453	5606	6742
454	5618	6729
455	5629	6715
456	5641	6702
457	5653	6690
458	5664	6676
459	5676	6663
460	5688	6651
461	5701	6638
462	5711	6624
463	5723	6611
464	5735	6599
465	5747	6586
466	5761	6576
467	5774	6564
468	5787	6552
469	5799	6539
470	5810	6525
471	5821	6512
472	5833	6499
473	5844	6485
474	5856	6472
475	5868	6460
476	5880	6447
477	5891	6434
478	5903	6421
479	5915	6408
480	5926	6394
481	5938	6382
482	5950	6369
483	5960	6355
484	5972	6342
485	5984	6329
486	5996	6316
487	6007	6302
488	6019	6289
489	6031	6277
490	6043	6264
491	6054	6251
492	6068	6240
493	6079	6227
494	6091	6214
495	6103	6201
496	6114	6188
497	6125	6174
498	6137	6162
499	6148	6148
500	6160	6136
501	6172	6122
502	6185	6111
503	6197	6099
504	6208	6085
505	6220	6072
506	6232	6060
507	6243	6047
508	6255	6033
509	6267	6021
510	6279	6009
511	6291	5996
512	6302	5983
513	6314	5970
514	6326	5958
515	6337	5944
516	6349	5931
517	6360	5918
518	6371	5904
519	6382	5891
520	6394	5878
521	6406	5866
522	6416	5852
523	6428	5839
524	6439	5826
525	6451	5813
526	6462	5800
527	6475	5788
528	6485	5774
529	6497	5762
530	6508	5748
531	6519	5735
532	6532	5723
533	6544	5710
534	6555	5697
535	6566	5684
536	6577	5671
537	6589	5658
538	6600	5645
539	6613	5633
540	6625	5621
541	6637	5609
542	6648	5595
543	6660	5583
544	6672	5570
545	6683	5557
546	6694	5544
547	6707	5532
548	6718	5518
549	6729	5505
550	6740	5492
551	6752	5480
552	6764	5467
553	6775	5454
554	6787	5442
555	6798	5429
556	6810	5416
557	6822	5404
558	6835	5392
559	6846	5379
560	6858	5367
561	6870	5354
562	6880	5341
563	6892	5328
564	6904	5315
565	6916	5303
566	6928	5290
567	6939	5278
568	6952	5266
569	6963	5253
570	6975	5240
571	6987	5228
572	6999	5216
573	7009	5202
574	7023	5191
575	7037	5180
576	7050	5168
577	7061	5155
578	7072	5142
579	7084	5129
580	7096	5117
581	7108	5105
582	7120	5093
583	7132	5080
584	7143	5067
585	7155	5055
586	7167	5042
587	7178	5029
588	7189	5016
589	7201	5004
590	7212	4991
591	7224	4978
592	7236	4966
593	7248	4954
594	7259	4941
595	7270	4928
596	7282	4915
597	7293	4902
598	7304	4890
599	7316	4877
600	7329	4865
601	7340	4853
602	7352	4840
603	7363	4827
604	7374	4814
605	7386	4802
606	7397	4789
607	7409	4776
608	7420	4764
609	7433	4752
610	7445	4740
611	7458	4728
612	7470	4716
613	7482	4703
614	7493	4691
615	7504	4678
616	7516	4665
617	7528	4653
618	7539	4640
619	7551	4628
620	7562	4615
621	7573	4602
622	7584	4589
623	7596	4577
624	7608	4564
625	7619	4552
626	7630	4539
627	7642	4527
628	7653	4514
629	7665	4502
630	7677	4489
631	7689	4477
632	7701	4465
633	7712	4452
634	7723	4439
635	7735	4427
636	7746	4414
637	7758	4402
638	7769	4389
639	7781	4376
640	7793	4364
641	7804	4352
642	7815	4339
643	7827	4327
644	7839	4314
645	7851	4302
646	7864	4290
647	7877	4279
648	7890	4267
649	7902	4255
650	7913	4242
651	7925	4229
652	7937	4217
653	7947	4204
654	7959	4192
655	7971	4180
656	7985	4168
657	7997	4156
658	8011	4145
659	8024	4133
660	8037	4122
661	8051	4110
662	8064	4099
663	8078	4087
664	8094	4077
665	8108	4066
666	8121	4054
667	8135	4043
668	8146	4030
669	8157	4017
670	8169	4005
671	8180	3992
672	8192	3980
673	8204	3968
674	8215	3955
675	8226	3943
676	8239	3930
677	8252	3919
678	8265	3907
679	8277	3895
680	8291	3883
681	8305	3872
682	8319	3861
683	8332	3849
684	8345	3837
685	8358	3825
686	8371	3814
687	8384	3802
688	8395	3789
689	8407	3777
690	8420	3765
691	8432	3753
692	8443	3740
693	8455	3728
694	8467	3715
695	8479	3703
696	8490	3690
697	8502	3678
698	8513	3665
699	8524	3653
700	8535	3640
701	8547	3628
702	8560	3616
703	8572	3604
704	8586	3592
705	8599	3581
706	8613	3569
707	8626	3557
708	8640	3546
709	8654	3535
710	8668	3523
711	8682	3511
712	8695	3500
713	8708	3488
714	8722	3476
715	8734	3464
716	8746	3452
717	8759	3440
718	8771	3428
719	8783	3415
720	8794	3403
721	8806	3390
722	8818	3378
723	8830	3366
724	8842	3353
725	8853	3341
726	8864	3328
727	8875	3316
728	8886	3303
729	8899	3291
730	8911	3279
731	8922	3266
732	8934	3254
733	8946	3242
734	8957	3229
735	8968	3217
736	8980	3204
737	8992	3192
738	9002	3179
739	9014	3167
740	9026	3154
741	9038	3142
742	9050	3130
743	9063	3118
744	9077	3106
745	9090	3095
746	9103	3083
747	9115	3071
748	9129	3059
749	9142	3047
750	9157	3036
751	9170	3024
752	9183	3012
753	9196	3000
754	9210	2988
755	9222	2976
756	9235	2964
757	9246	2951
758	9257	2939
759	9270	2927
760	9281	2914
761	9292	2902
762	9304	2890
763	9316	2877
764	9327	2865
765	9340	2853
766	9352	2841
767	9364	2828
768	9375	2816
769	9387	2804
770	9399	2791
771	9411	2779
772	9423	2767
773	9436	2755
774	9447	2742
775	9459	2730
776	9471	2718
777	9483	2706
778	9494	2693
779	9505	2681
780	9518	2669
781	9529	2656
782	9540	2643
783	9551	2631
784	9562	2619
785	9573	2606
786	9586	2594
787	9598	2582
788	9609	2569
789	9621	2557
790	9635	2545
791	9648	2534
792	9660	2521
793	9672	2509
794	9685	2497
